Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish breath,Neutral,46.08,,42.07,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,50.07,-2.05,36.8,-4.15,,
2015-08-10,2015-08-10,2015-10-05,,MACD Bearish,41.69,-3.31,31.97,-5.24,,
2015-10-05,2015-10-05,2015-11-02,,MACD Bearish breath,40.05,-1.19,35.08,-2.13,,
2015-11-02,2015-11-02,2016-02-01,,MACD Bearish,37.25,-2.72,21.89,-8.2,,
2016-02-01,2016-02-01,2016-05-02,,MACD Bearish breath,35.52,2.15,22.88,-6.32,,Sell signal
2016-05-02,2016-05-02,2016-05-09,,MACD Bullish,33.99,1.23,30.09,1.23,,
2016-05-09,2016-05-09,2016-06-27,,MACD Bearish,31.26,-0.36,26.95,-1.56,,
2016-06-27,2016-06-27,2016-07-11,,MACD Bearish breath,31.67,0.89,27.74,0.3,,
2016-07-11,2016-07-11,2016-08-22,,MACD Bullish,33.77,1.84,30.47,1.1,,
2016-08-22,2016-08-22,2016-09-19,,MACD Bullish breath,32.83,0.9,29.62,-0.28,,
2016-09-19,2016-09-19,2016-12-19,,MACD Bullish,42.61,5.67,30.69,0.55,,Sell signal
2016-12-19,2016-12-19,2017-01-09,,MACD Bullish breath,39.51,3.95,37.96,3.21,,
2017-01-09,2017-01-09,2017-02-20,,MACD Bullish,47.11,6.5,38.26,4.49,,
2017-02-20,2017-02-20,2017-05-15,,MACD Bullish breath,46.24,4.5,37.67,-0.46,,
2017-05-15,2017-05-15,2017-06-12,,MACD Bullish,42.31,1.28,39.11,0.59,,
2017-06-12,2017-06-12,2017-06-26,,MACD Bullish breath,41.83,0.37,37.66,-0.12,,
2017-06-26,2017-06-26,2017-08-14,,MACD Bullish,48.03,4.32,38.95,0.99,,Sell signal
2017-08-14,2017-08-14,2017-08-21,,MACD Bullish breath,45.37,2.84,43.88,2.84,,Sell signal
2017-08-21,2017-08-21,2017-09-18,,MACD Bullish,49.89,4.86,44.96,3.78,,
2017-09-18,2017-09-18,2017-10-09,,MACD Bullish breath,49.19,3.78,46.24,3.22,,
2017-10-09,2017-10-09,2017-10-16,,MACD Bullish,50.13,4.11,47.55,4.11,Weekly Bearish Divergence,
2017-10-16,2017-10-16,2017-11-06,,MACD Bullish breath,50.77,3.47,46.7,2.65,Weekly Bearish Divergence,
