Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,161.85,,144.62,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,247.54,38.28,227.31,35.06,None,
2017-10-01,2017-10-01,2018-04-01,Bullish,MACD Bullish,292.97,52.92,243.45,44.64,None,
2018-04-01,2018-04-01,2018-07-01,Bullish breath,MACD Bullish breath,287.92,42.21,257.44,39.56,None,
2018-07-01,2018-07-01,2018-09-01,Bullish,MACD Bullish,312.38,49.06,270.31,48.31,Sell - Monthly Divergence,
2018-09-01,2018-09-01,2018-10-01,Bullish breath,MACD Bullish,312.65,46.68,293.89,46.68,,
2018-10-01,2018-10-01,2019-02-01,Bullish breath,MACD Bullish breath,303.75,39.08,245.59,24.43,,
2019-02-01,2019-02-01,2019-03-01,Bullish breath,MACD Bullish,324.67,40.54,286.12,40.54,Sell - Monthly Divergence,
2019-03-01,2019-03-01,2019-09-01,Bullish,MACD Bullish,385.51,68.06,315.09,54.31,,
2019-09-01,2019-09-01,2020-01-01,Bullish breath,MACD Bullish breath,377.25,57.81,322.2,42.26,,
2020-01-01,2020-01-01,2020-02-01,Bullish,MACD Bullish,393.0,50.78,353.93,50.78,Sell - Monthly Divergence,
2020-02-01,2020-02-01,2020-05-01,Bullish breath,MACD Bullish breath,395.0,40.09,240.0,16.66,,
2020-05-01,2020-05-01,2020-07-01,Bullish breath,MACD Bullish,410.41,46.4,333.22,39.92,Sell - Monthly Divergence,
2020-07-01,2020-07-01,2020-09-01,Bullish,MACD Bullish,455.72,71.1,386.17,66.5,,
2020-09-01,2020-09-01,2020-10-01,Bullish breath,MACD Bullish,445.85,56.93,380.07,56.93,,
2020-10-01,2020-10-01,2020-11-01,Bullish breath,MACD Bullish breath,438.32,38.14,362.9,38.14,,
2020-11-01,2020-11-01,2021-01-01,Bullish,MACD Bullish,433.09,57.86,375.53,51.74,,
2021-01-01,2021-01-01,2021-04-01,Bullish breath,MACD Bullish breath,439.58,42.29,365.23,27.0,,
2021-04-01,2021-04-01,2021-05-01,Bullish breath,MACD Bullish,448.38,48.46,403.55,48.46,Sell - Monthly Divergence,
2021-05-01,2021-05-01,2021-09-01,Bullish,MACD Bullish,499.21,78.45,425.14,56.79,,
2021-09-01,2021-09-01,2021-10-01,Bullish breath,MACD Bullish breath,489.25,58.15,445.8,58.15,,
2021-10-01,2021-10-01,2021-11-01,Bullish,MACD Bullish,505.0,64.89,439.4,64.89,Sell - Monthly Divergence,
2021-11-01,2021-11-01,2021-12-01,Bullish breath,MACD Bullish breath,501.54,55.5,461.28,55.5,,
2021-12-01,2021-12-01,2022-01-01,Bullish,MACD Bullish,494.32,60.9,459.58,60.9,,
2022-01-01,2022-01-01,2022-10-01,Bullish breath,MACD Bullish breath,492.35,37.85,359.22,-33.77,,
2022-10-01,2022-10-01,2022-11-01,Bullish breath,MACD Bearish,416.74,-20.01,356.22,-20.01,,
2022-11-01,2022-11-01,2023-02-01,Bullish breath,MACD Bearish breath,453.43,2.83,388.66,-2.53,,
2023-02-01,2023-02-01,2023-06-01,Bullish breath,MACD Bullish,463.9,19.96,416.78,4.23,,
2023-06-01,2023-06-01,2024-01-01,Bullish,MACD Bullish,551.91,67.18,446.86,31.84,,
