Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish,Neutral,161.85,,144.62,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,178.92,6.42,153.99,-0.16,,
2015-08-10,2015-08-10,2015-08-24,,MACD Bullish breath,171.78,-0.01,161.42,-3.34,,
2015-08-24,2015-08-24,2015-10-05,,MACD Bearish,164.19,-3.77,150.91,-9.07,,
2015-10-05,2015-10-05,2015-10-26,,MACD Bearish breath,177.49,6.3,160.01,0.23,,
2015-10-26,2015-10-26,2015-12-07,,MACD Bullish,195.93,17.18,176.86,11.39,,Sell signal
2015-12-07,2015-12-07,2016-02-01,,MACD Bullish breath,193.32,10.98,164.73,-4.66,,
2016-02-01,2016-02-01,2016-02-29,,MACD Bearish,174.44,-4.91,155.79,-8.77,,
2016-02-29,2016-02-29,2016-03-28,,MACD Bearish breath,182.62,3.76,166.87,-3.17,,
2016-03-28,2016-03-28,2016-04-25,,MACD Bullish,185.14,5.97,176.01,2.35,,
2016-04-25,2016-04-25,2016-05-16,,MACD Bullish breath,181.15,1.12,172.68,0.32,,
2016-05-16,2016-05-16,2016-05-23,,MACD Bullish,183.73,3.1,175.61,3.1,,
2016-05-23,2016-05-23,2016-06-06,,MACD Bullish breath,179.3,-0.46,169.27,-2.18,,
2016-06-06,2016-06-06,2016-07-11,,MACD Bearish,175.07,-2.75,163.85,-5.72,,
2016-07-11,2016-07-11,2016-08-29,,MACD Bearish breath,178.96,2.17,159.28,-2.95,,
2016-08-29,2016-08-29,2016-10-10,,MACD Bullish,183.49,4.93,174.45,2.65,,
2016-10-10,2016-10-10,2016-10-31,,MACD Bullish breath,181.23,0.83,167.5,-3.74,,
2016-10-31,2016-10-31,2016-11-07,,MACD Bearish,174.88,-4.2,168.56,-4.2,,
2016-11-07,2016-11-07,2016-11-14,,MACD Bearish breath,180.5,-0.22,171.27,-0.22,,
2016-11-14,2016-11-14,2017-03-20,,MACD Bullish,214.44,20.34,178.19,2.13,,Sell signal
2017-03-20,2017-03-20,2017-04-24,,MACD Bullish breath,211.33,15.25,203.5,10.38,,
2017-04-24,2017-04-24,2017-06-26,,MACD Bullish,235.5,20.44,212.0,14.72,,
2017-06-26,2017-06-26,2017-09-18,,MACD Bullish breath,238.49,17.85,226.81,7.54,,
