Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bearish,Neutral,4171.5,,3609.74,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,4640.0,-153.17,3225.0,-239.97,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bearish breath,3449.84,-207.66,3302.0,-207.66,,
2015-08-17,2015-08-17,2015-09-07,,MACD Bearish,3419.0,-278.71,2851.0,-313.22,,
2015-09-07,2015-09-07,2015-09-21,,MACD Bearish breath,3400.0,-209.32,3076.1,-238.62,,
2015-09-21,2015-09-21,2015-10-05,,MACD Bearish,3275.0,-311.52,2925.0,-353.91,,
2015-10-05,2015-10-05,2015-11-16,,MACD Bearish breath,3436.0,-57.89,2916.13,-281.83,,
2015-11-16,2015-11-16,2015-11-23,,MACD Bearish,3168.75,-192.19,3003.0,-192.19,,
2015-11-23,2015-11-23,2015-11-30,,MACD Bearish breath,3444.35,-50.9,3056.11,-50.9,,
2015-11-30,2015-11-30,2016-01-25,,MACD Bearish,3500.0,-151.85,2427.01,-512.73,,
2016-01-25,2016-01-25,2016-02-01,,MACD Bearish breath,2877.0,-298.74,2580.0,-298.74,,
2016-02-01,2016-02-01,2016-02-08,,MACD Bearish,3155.0,-346.9,2607.01,-346.9,,
2016-02-08,2016-02-08,2016-05-16,,MACD Bearish breath,3125.0,17.81,2540.0,-320.56,,
2016-05-16,2016-05-16,2016-05-23,,MACD Bearish,2979.0,-53.14,2782.0,-53.14,,
2016-05-23,2016-05-23,2016-05-30,,MACD Bearish breath,3125.0,40.56,2841.0,40.56,,
2016-05-30,2016-05-30,2016-07-04,,MACD Bearish,3120.0,-18.51,2590.0,-128.59,,
2016-07-04,2016-07-04,2016-08-08,,MACD Bearish breath,3010.0,19.68,2730.0,-67.7,,
2016-08-08,2016-08-08,2016-10-24,,MACD Bullish,3597.99,334.28,2965.0,88.57,,Sell signal
2016-10-24,2016-10-24,2016-11-07,,MACD Bullish breath,3600.0,244.43,3178.01,130.88,,
2016-11-07,2016-11-07,2016-12-26,,MACD Bullish,4545.0,671.22,3190.0,285.6,,Sell signal
2016-12-26,2016-12-26,2017-03-13,,MACD Bullish breath,4250.0,460.0,3590.06,141.46,,
2017-03-13,2017-03-13,2017-03-20,,MACD Bullish,4246.23,249.47,3850.0,249.47,,
2017-03-20,2017-03-20,2017-03-27,,MACD Bullish breath,4229.52,169.48,3845.0,169.48,,
2017-03-27,2017-03-27,2017-04-03,,MACD Bullish,4240.99,249.89,3800.0,249.89,,
2017-04-03,2017-04-03,2017-04-17,,MACD Bullish breath,4160.0,209.97,3889.0,150.89,,
2017-04-17,2017-04-17,2017-05-01,,MACD Bullish,4356.0,272.25,3900.0,225.28,,
2017-05-01,2017-05-01,2017-05-29,,MACD Bullish breath,4291.0,171.68,3247.0,-7.67,,
2017-05-29,2017-05-29,2017-06-19,,MACD Bullish,4275.9,150.02,3840.03,124.64,,
2017-06-19,2017-06-19,2017-07-17,,MACD Bullish breath,4158.0,41.54,3725.5,-30.76,,
2017-07-17,2017-07-17,2017-10-16,,MACD Bullish,4690.0,323.08,3850.0,93.28,Weekly Bearish Divergence,
2017-10-16,2017-10-16,2017-11-06,,MACD Bullish breath,4637.8,171.02,4133.25,70.86,Weekly Bearish Divergence,
2017-11-06,2017-11-06,2017-12-25,Bullish,MACD Bullish breath,4499.95,101.64,4105.0,-22.28,Weekly Bearish Divergence,Waiting for confirmation : Buy
2017-12-25,2017-12-25,2018-01-01,Bullish,MACD Bullish,4410.0,49.38,4223.0,49.38,Weekly Bearish Divergence,Buy signal
2018-01-01,2018-01-01,2018-01-15,Bullish breath,MACD Bullish breath,4416.24,25.78,4210.0,13.44,Sell - divergence,
2018-01-15,2018-01-15,2018-01-29,Bullish breath,MACD Bullish,4389.39,67.77,4245.0,47.3,,
2018-01-29,2018-01-29,2018-02-12,Bullish breath,MACD Bullish breath,4402.03,32.32,4030.0,-95.94,,Waiting for confirmation : Buy
2018-02-12,2018-02-12,2018-03-26,Bullish breath,MACD Bearish,4330.02,-103.26,3965.86,-168.92,,Waiting for confirmation : Buy
2018-03-26,2018-03-26,2018-04-16,Bullish breath,MACD Bearish breath,4300.0,-23.03,4050.0,-61.72,,Waiting for confirmation : Buy
2018-04-16,2018-04-16,2018-05-14,Bullish breath,MACD Bearish,4150.0,-75.36,3882.77,-167.18,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-05-14,2018-05-14,2018-06-04,Bullish breath,MACD Bearish breath,4200.0,-78.32,3948.5,-104.46,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-06-04,2018-06-04,2018-06-18,Bullish breath,MACD Bearish,4102.0,-119.28,3747.0,-174.26,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-06-18,2018-06-18,2018-07-09,Bullish breath,MACD Bearish breath,4082.48,-80.77,3880.0,-102.27,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-07-09,2018-07-09,2018-09-03,Bullish breath,MACD Bearish,4000.0,-175.36,3525.0,-257.74,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-09-03,2018-09-03,2018-09-10,Bullish breath,MACD Bearish breath,3690.53,-211.05,3610.0,-211.05,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-09-10,2018-09-10,2018-09-17,Bullish breath,MACD Bearish,3690.0,-219.07,3560.0,-219.07,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-09-17,2018-09-17,2018-11-05,Bullish breath,MACD Bearish breath,3865.0,-67.69,3550.0,-175.51,Weekly Bullish Divergence,Waiting for confirmation : Buy
2018-11-05,2018-11-05,2018-11-26,Bearish,MACD Bearish,3730.0,-130.69,3505.01,-146.98,Weekly Bullish Divergence,
2018-11-26,2018-11-26,2018-12-17,Bearish,MACD Bearish breath,3900.0,-5.53,3543.9,-91.45,Weekly Bullish Divergence,
2018-12-17,2018-12-17,2019-01-14,Bearish,MACD Bearish,3805.0,-93.68,3434.71,-128.11,Weekly Bullish Divergence,
2019-01-14,2019-01-14,2019-02-18,Bearish,MACD Bearish breath,3920.0,51.94,3520.3,-29.7,Weekly Bullish Divergence,
2019-02-18,2019-02-18,2019-03-04,Bearish,MACD Bullish,3988.0,109.19,3700.0,85.8,Weekly Bullish Divergence,
2019-03-04,2019-03-04,2019-04-01,Bullish breath,MACD Bullish,4322.2,322.82,3772.32,114.69,Buy - divergence,Sell signal
2019-04-01,2019-04-01,2019-05-06,Bullish,MACD Bullish,4743.71,528.52,4206.09,388.06,,
2019-05-06,2019-05-06,2019-07-01,Bullish,MACD Bullish breath,4637.0,300.15,3887.0,-15.23,,
2019-07-01,2019-07-01,2019-07-29,Bullish breath,MACD Bullish breath,4263.69,23.65,3977.1,-33.14,,
2019-07-29,2019-07-29,2019-08-05,Bullish breath,MACD Bearish,4145.99,-128.79,3601.84,-128.79,Weekly Bullish Divergence,Waiting for confirmation : Buy
2019-08-05,2019-08-05,2019-08-26,Bullish,MACD Bearish,4182.0,-116.32,3538.0,-176.4,Buy - divergence,Waiting for confirmation : Buy
2019-08-26,2019-08-26,2019-09-09,Bullish,MACD Bearish breath,4334.66,113.29,3940.0,-16.48,,Buy signal
2019-09-09,2019-09-09,2019-10-21,Bullish,MACD Bullish,4450.0,153.45,4030.0,82.03,Weekly Bearish Divergence,
2019-10-21,2019-10-21,2019-11-04,Bullish,MACD Bullish breath,4330.0,77.28,4108.14,70.69,Weekly Bearish Divergence,
2019-11-04,2019-11-04,2019-12-02,Bullish breath,MACD Bullish breath,4450.0,72.6,4000.0,-16.65,Sell - divergence,Waiting for confirmation : Buy
2019-12-02,2019-12-02,2019-12-16,Bullish,MACD Bullish breath,4387.96,28.04,4010.0,25.77,,Waiting for confirmation : Buy
2019-12-16,2019-12-16,2019-12-23,Bullish,MACD Bullish,4250.0,36.25,4110.01,36.25,,Waiting for confirmation : Buy
2019-12-23,2019-12-23,2019-12-30,Bullish,MACD Bullish breath,4284.5,27.86,4169.52,27.86,,
