Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-02-01,2015-02-01,2017-09-01,,Neutral,15.85,,13.92,,None,
2017-09-01,2017-09-01,2017-11-01,,MACD Bearish breath,8.49,-0.22,6.65,-0.31,None,
2017-11-01,2017-11-01,2018-01-01,Bearish breath,MACD Bearish breath,8.75,0.35,7.35,0.28,None,
2018-01-01,2018-01-01,2018-04-01,Bearish breath,MACD Bullish,10.54,1.03,7.77,0.38,None,
2018-04-01,2018-04-01,2018-05-01,Bearish breath,MACD Bullish breath,7.85,-0.27,6.69,-0.27,,
2018-05-01,2018-05-01,2018-06-01,Bearish breath,MACD Bearish,7.32,-0.7,6.32,-0.7,,
2018-06-01,2018-06-01,2019-03-01,Bearish,MACD Bearish,6.86,-1.2,4.21,-1.76,,
2019-03-01,2019-03-01,2019-05-01,Bearish,MACD Bearish breath,5.93,-1.29,4.47,-1.44,,
2019-05-01,2019-05-01,2020-01-01,Bearish,MACD Bearish,4.54,-1.66,2.11,-2.4,,
2020-01-01,2020-01-01,2020-05-01,Bearish,MACD Bearish breath,2.96,-1.7,1.39,-2.07,,
2020-05-01,2020-05-01,2021-05-01,Bearish breath,MACD Bearish breath,5.0,0.61,2.16,-1.44,,
2021-05-01,2021-05-01,2021-08-01,Bullish,MACD Bullish,6.14,1.15,4.43,1.09,,
2021-08-01,2021-08-01,2021-09-01,Bullish breath,MACD Bullish,5.25,0.67,3.75,0.67,,
2021-09-01,2021-09-01,2022-06-01,Bullish,MACD Bullish,13.39,4.9,4.28,0.78,,
2022-06-01,2022-06-01,2022-07-01,Bullish breath,MACD Bullish,14.7,3.53,8.51,3.53,,
2022-07-01,2022-07-01,2022-09-01,Bullish,MACD Bullish,15.43,4.62,7.93,4.44,,
2022-09-01,2022-09-01,2022-11-01,Bullish breath,MACD Bullish breath,12.36,3.24,9.13,3.02,,
2022-11-01,2022-11-01,2022-12-01,Bullish,MACD Bullish breath,11.9,3.22,10.37,3.22,,
2022-12-01,2022-12-01,2023-09-01,Bullish breath,MACD Bullish breath,12.25,3.11,6.59,-0.92,,
2023-09-01,2023-09-01,2023-11-01,Bullish breath,MACD Bearish,7.85,-0.83,6.45,-1.04,,
2023-11-01,2023-11-01,2024-01-01,Bearish,MACD Bearish,7.5,-1.01,4.88,-2.11,,
