Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,14.43,,12.33,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish,25.97,5.44,20.75,4.98,None,
2017-10-01,2017-10-01,2018-01-01,Bullish breath,MACD Bullish breath,24.2,4.31,19.51,2.63,None,
2018-01-01,2018-01-01,2018-02-01,Bullish,MACD Bullish breath,24.03,3.49,20.38,3.49,None,
2018-02-01,2018-02-01,2018-10-01,Bullish breath,MACD Bullish breath,25.83,3.44,16.31,-0.35,,
2018-10-01,2018-10-01,2019-01-01,Bullish breath,MACD Bullish,25.3,2.2,16.52,1.17,,
2019-01-01,2019-01-01,2019-05-01,Bullish breath,MACD Bullish breath,23.47,1.24,15.41,-1.79,,
2019-05-01,2019-05-01,2019-10-01,Bearish,MACD Bearish,17.74,-2.54,11.8,-4.04,,
2019-10-01,2019-10-01,2019-11-01,Bearish,MACD Bearish breath,22.72,-0.09,14.95,-0.09,,
2019-11-01,2019-11-01,2019-12-01,Bearish breath,MACD Bearish breath,24.08,1.47,20.62,1.47,,
2019-12-01,2019-12-01,2021-05-01,Bullish,MACD Bullish,300.13,136.84,21.82,4.65,,
2021-05-01,2021-05-01,2021-08-01,Bullish breath,MACD Bullish breath,235.33,91.36,182.33,83.58,,
2021-08-01,2021-08-01,2021-10-01,Bullish,MACD Bullish breath,266.33,88.93,216.28,85.55,,
2021-10-01,2021-10-01,2022-01-01,Bullish,MACD Bullish,414.5,156.08,254.53,135.27,,
2022-01-01,2022-01-01,2022-03-01,Bullish breath,MACD Bullish breath,402.67,120.93,233.33,94.77,,
2022-03-01,2022-03-01,2022-04-01,Bullish,MACD Bullish breath,371.59,108.56,252.01,108.56,,
2022-04-01,2022-04-01,2023-01-01,Bullish breath,MACD Bullish breath,384.29,81.56,108.24,-56.19,,Waiting for confirmation : Buy
2023-01-01,2023-01-01,2023-03-01,Bullish breath,MACD Bearish,217.65,-33.9,101.81,-51.72,,
2023-03-01,2023-03-01,2023-06-01,Bearish,MACD Bearish,207.79,-23.65,152.37,-36.4,,
2023-06-01,2023-06-01,2023-07-01,Bearish,MACD Bearish breath,276.99,7.14,199.37,7.14,,
2023-07-01,2023-07-01,2023-08-01,Bullish breath,MACD Bearish breath,299.29,23.75,254.12,23.75,,
2023-08-01,2023-08-01,2023-09-01,Bullish breath,MACD Bullish,266.47,26.57,212.36,26.57,,
2023-09-01,2023-09-01,2023-10-01,Bullish,MACD Bullish,278.98,23.55,234.58,23.55,,
2023-10-01,2023-10-01,2023-11-01,Bullish breath,MACD Bullish breath,268.94,0.25,194.07,0.25,,
2023-11-01,2023-11-01,2024-01-01,Bullish breath,MACD Bullish,265.13,12.25,197.85,6.16,,
2024-01-01,2024-01-01,2024-02-01,Bullish breath,MACD Bullish breath,251.25,-11.45,180.06,-11.45,,
2024-02-01,2024-02-01,,Bearish,MACD Bearish,189.88,-21.73,182.0,-21.73,,
