Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2019-05-06,2019-05-06,2019-06-03,Bullish,Neutral,45.0,,36.08,,,
2019-06-03,2019-06-03,2019-12-09,,Neutral,47.08,-4.38,25.58,-6.67,,
2019-12-09,2019-12-09,2020-02-03,,MACD Bearish breath,37.95,2.33,27.6,-4.66,,Sell signal
2020-02-03,2020-02-03,2020-02-24,,MACD Bullish,41.86,4.96,36.53,4.22,,Sell signal
2020-02-24,2020-02-24,2020-03-16,,MACD Bullish breath,39.15,2.05,21.13,-5.25,,
2020-03-16,2020-03-16,2020-04-13,,MACD Bearish,28.89,-5.53,13.71,-7.88,Weekly Bullish Divergence,
2020-04-13,2020-04-13,2020-05-25,,MACD Bearish breath,36.0,1.86,26.44,-4.18,Weekly Bullish Divergence,
2020-05-25,2020-05-25,2020-06-15,,MACD Bullish,38.78,3.89,30.89,2.01,Weekly Bullish Divergence,
2020-06-15,2020-06-15,2020-07-13,,MACD Bullish breath,34.46,1.09,28.39,-0.79,Weekly Bullish Divergence,
2020-07-13,2020-07-13,2020-07-20,,MACD Bullish,33.6,0.34,30.48,0.34,Weekly Bullish Divergence,
2020-07-20,2020-07-20,2020-07-27,,MACD Bullish breath,34.23,-0.17,30.47,-0.17,Weekly Bullish Divergence,
2020-07-27,2020-07-27,2020-08-03,,MACD Bearish,31.6,-0.79,29.78,-0.79,Weekly Bullish Divergence,
2020-08-03,2020-08-03,2020-08-10,,MACD Bearish breath,34.79,0.07,30.06,0.07,Weekly Bullish Divergence,
2020-08-10,2020-08-10,2020-08-24,,MACD Bearish,33.18,-0.77,28.48,-0.77,Weekly Bullish Divergence,
2020-08-24,2020-08-24,2020-08-31,,MACD Bearish breath,33.94,0.52,30.37,0.52,Weekly Bullish Divergence,
2020-08-31,2020-08-31,2020-10-12,,MACD Bullish,38.52,3.41,31.55,0.86,Weekly Bullish Divergence,
2020-10-12,2020-10-12,2020-10-19,,MACD Bullish breath,37.56,1.81,33.61,1.81,Weekly Bullish Divergence,
2020-10-19,2020-10-19,2020-10-26,,MACD Bullish,36.99,2.3,34.0,2.3,Weekly Bullish Divergence,
2020-10-26,2020-10-26,2020-11-02,,MACD Bullish breath,36.74,1.01,32.9,1.01,Weekly Bullish Divergence,
2020-11-02,2020-11-02,2020-12-28,,MACD Bullish,56.02,12.83,34.06,5.26,Weekly Bullish Divergence,Sell signal
2020-12-28,2020-12-28,2021-01-11,,MACD Bullish breath,56.25,9.37,49.63,9.33,Weekly Bullish Divergence,
2021-01-11,2021-01-11,2021-01-18,,MACD Bullish,60.03,10.0,52.99,10.0,Weekly Bearish Divergence,
2021-01-18,2021-01-18,2021-02-01,,MACD Bullish breath,57.98,9.4,47.15,7.34,Weekly Bearish Divergence,
2021-02-01,2021-02-01,2021-02-22,,MACD Bullish,64.05,10.83,51.35,9.37,Weekly Bearish Divergence,
2021-02-22,2021-02-22,2021-05-31,,MACD Bullish breath,61.5,8.07,43.17,-2.58,Weekly Bearish Divergence,
2021-05-31,2021-05-31,2021-06-21,,MACD Bearish,51.66,-1.44,48.29,-1.51,Weekly Bearish Divergence,
2021-06-21,2021-06-21,2021-07-05,,MACD Bearish breath,52.36,-0.15,47.75,-0.58,Weekly Bearish Divergence,
2021-07-05,2021-07-05,2021-09-20,,MACD Bearish,52.03,-1.07,38.08,-6.65,Weekly Bearish Divergence,
2021-09-20,2021-09-20,2021-11-15,,MACD Bearish breath,48.88,0.85,38.73,-2.92,Weekly Bearish Divergence,
2021-11-15,2021-11-15,2021-12-20,,MACD Bearish,46.66,-1.18,34.88,-6.38,Weekly Bearish Divergence,
2021-12-20,2021-12-20,2022-01-17,,MACD Bearish breath,45.9,-1.97,38.08,-2.63,Weekly Bearish Divergence,
2022-01-17,2022-01-17,2022-03-07,,MACD Bearish,42.56,-4.21,29.27,-7.23,Weekly Bearish Divergence,
2022-03-07,2022-03-07,2022-03-21,Bearish,MACD Bearish,33.42,-6.16,28.28,-7.44,Weekly Bullish Divergence,
2022-03-21,2022-03-21,2022-04-18,Bearish,MACD Bearish breath,37.45,-3.51,31.02,-5.04,Weekly Bullish Divergence,
2022-04-18,2022-04-18,2022-04-25,Bearish,MACD Bearish,34.41,-4.92,30.8,-4.92,Weekly Bullish Divergence,
