Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,137.49,,124.7,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bullish breath,257.06,13.35,204.01,3.99,None,
2017-10-01,2017-10-01,2018-03-01,Bullish breath,MACD Bullish breath,249.3,-6.16,187.96,-13.66,None,
2018-03-01,2018-03-01,2018-04-01,Bullish breath,MACD Bearish,223.5,-16.24,191.7,-16.24,None,
2018-04-01,2018-04-01,2018-05-01,Bullish breath,MACD Bearish breath,257.63,3.04,199.15,3.04,,
2018-05-01,2018-05-01,2018-09-01,Bullish breath,MACD Bullish,268.88,18.1,228.38,7.33,,
2018-09-01,2018-09-01,2018-12-01,Bullish,MACD Bullish,322.49,41.1,258.27,30.41,,
2018-12-01,2018-12-01,2019-01-01,Bullish breath,MACD Bullish breath,311.3,21.36,224.43,21.36,,
2019-01-01,2019-01-01,2019-08-01,Bullish,MACD Bullish,368.83,70.05,239.31,31.48,,
2019-08-01,2019-08-01,2020-01-01,Bullish breath,MACD Bullish breath,355.36,13.03,222.0,-27.2,,
2020-01-01,2020-01-01,2020-03-01,Bullish breath,MACD Bearish,304.65,-10.43,246.74,-10.85,,
2020-03-01,2020-03-01,2020-08-01,Bearish,MACD Bearish,269.3,-26.26,124.05,-44.51,,
2020-08-01,2020-08-01,2020-10-01,Bearish,MACD Bearish breath,256.6,-24.27,188.18,-28.69,,
2020-10-01,2020-10-01,2020-11-01,Bearish,MACD Bearish,245.69,-28.66,200.5,-28.66,,
2020-11-01,2020-11-01,2020-12-01,Bearish,MACD Bearish breath,287.24,-0.4,206.8,-0.4,,
2020-12-01,2020-12-01,2021-02-01,Bearish breath,MACD Bearish breath,310.49,22.29,258.0,17.71,,
2021-02-01,2021-02-01,2022-01-01,Bullish,MACD Bullish,417.85,79.6,276.0,41.71,,
2022-01-01,2022-01-01,2022-03-01,Bullish breath,MACD Bullish breath,422.43,61.13,336.29,54.89,,
2022-03-01,2022-03-01,2022-05-01,Bullish,MACD Bullish breath,438.63,60.08,350.1,59.65,,
2022-05-01,2022-05-01,2022-06-01,Bullish,MACD Bullish,426.83,68.44,330.8,68.44,Sell - Monthly Divergence,
2022-06-01,2022-06-01,2022-08-01,Bullish breath,MACD Bullish breath,429.48,53.95,368.64,46.71,,
2022-08-01,2022-08-01,2022-09-01,Bullish,MACD Bullish breath,433.88,54.81,360.58,54.81,,
2022-09-01,2022-09-01,2022-10-01,Bullish breath,MACD Bullish breath,451.3,48.58,386.1,48.58,,
2022-10-01,2022-10-01,2022-11-01,Bullish,MACD Bullish breath,421.37,51.63,373.8,51.63,,
2022-11-01,2022-11-01,2023-05-01,Bullish,MACD Bullish,553.06,120.23,402.77,70.5,,
2023-05-01,2023-05-01,2023-12-01,Bullish breath,MACD Bullish breath,556.6,56.96,368.02,-17.66,,
2023-12-01,2023-12-01,2024-02-01,Bullish breath,MACD Bullish,511.58,56.23,464.81,28.08,,
