Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-05,2015-01-05,2015-02-02,Bullish breath,Neutral,53.9,,43.45,,,
2015-02-02,2015-02-02,2015-08-10,,Neutral,68.27,6.79,52.92,4.48,,
2015-08-10,2015-08-10,2015-08-17,,MACD Bullish,71.5,5.72,65.77,5.72,,Sell signal
2015-08-17,2015-08-17,2015-10-05,,MACD Bullish breath,70.0,2.87,51.68,-0.8,,Sell signal
2015-10-05,2015-10-05,2015-10-19,,MACD Bullish,66.38,1.96,61.2,1.8,,
2015-10-19,2015-10-19,2015-10-26,,MACD Bullish breath,63.31,1.11,58.98,1.11,,
2015-10-26,2015-10-26,2015-12-07,,MACD Bullish,73.88,7.22,61.28,2.45,,Sell signal
2015-12-07,2015-12-07,2015-12-21,,MACD Bullish breath,72.7,4.42,65.04,4.31,,
2015-12-21,2015-12-21,2015-12-28,,MACD Bullish,72.45,4.92,69.91,4.92,,
2015-12-28,2015-12-28,2016-02-08,,MACD Bullish breath,72.49,4.49,56.93,-3.43,,
2016-02-08,2016-02-08,2016-03-07,,MACD Bearish,64.66,-2.8,52.55,-6.12,,
2016-03-07,2016-03-07,2016-04-11,,MACD Bearish breath,66.89,0.53,60.26,-0.94,,
2016-04-11,2016-04-11,2016-07-25,,MACD Bearish,63.03,-2.39,46.88,-7.81,,
2016-07-25,2016-07-25,2016-10-10,,MACD Bearish breath,58.08,0.01,49.26,-5.2,,
2016-10-10,2016-10-10,2016-10-17,,MACD Bearish,55.26,-1.28,52.64,-1.28,,
2016-10-17,2016-10-17,2016-10-31,,MACD Bearish breath,60.36,1.15,53.6,-0.46,,Sell signal
2016-10-31,2016-10-31,2017-01-09,,MACD Bullish,71.4,7.88,57.4,1.54,,Sell signal
2017-01-09,2017-01-09,2017-03-13,,MACD Bullish breath,69.84,5.5,64.45,2.73,,
2017-03-13,2017-03-13,2017-03-20,,MACD Bullish,69.2,3.58,66.51,3.58,,
2017-03-20,2017-03-20,2017-06-05,,MACD Bullish breath,69.12,2.52,60.69,-1.45,,
2017-06-05,2017-06-05,2017-06-12,,MACD Bearish,65.76,-0.32,61.59,-0.32,,
2017-06-12,2017-06-12,2017-08-07,,MACD Bullish,69.75,2.39,63.77,0.44,,
2017-08-07,2017-08-07,2017-08-28,,MACD Bullish breath,68.81,1.2,64.22,0.15,,
2017-08-28,2017-08-28,2017-11-06,,MACD Bullish,82.19,7.87,67.24,1.87,Weekly Bearish Divergence,Sell signal
2017-11-06,2017-11-06,2018-01-29,Bullish,MACD Bullish,99.95,13.96,80.0,8.21,Weekly Bearish Divergence,
2018-01-29,2018-01-29,2018-04-09,Bullish,MACD Bullish breath,98.63,11.18,82.9,4.69,Weekly Bearish Divergence,
2018-04-09,2018-04-09,2018-06-11,Bullish,MACD Bullish,126.98,20.02,95.56,8.43,Weekly Bearish Divergence,Buy signal
2018-06-11,2018-06-11,2018-08-20,Bullish,MACD Bullish breath,121.48,14.64,103.75,2.69,Weekly Bearish Divergence,
2018-08-20,2018-08-20,2018-09-03,Bullish,MACD Bullish,122.42,8.32,111.04,8.22,Weekly Bearish Divergence,
2018-09-03,2018-09-03,2018-10-22,Bullish breath,MACD Bullish breath,121.22,6.68,92.5,-7.09,Sell - divergence,Waiting for confirmation : Buy
2018-10-22,2018-10-22,2018-12-31,Bullish breath,MACD Bearish,94.72,-13.56,68.81,-20.75,,Waiting for confirmation : Buy
2018-12-31,2018-12-31,2019-05-06,Bullish breath,MACD Bearish breath,92.7,1.57,72.95,-16.46,,Waiting for confirmation : Buy
2019-05-06,2019-05-06,2019-06-17,Bullish breath,MACD Bearish,87.45,-0.88,69.44,-9.37,,Waiting for confirmation : Buy
