Date,Start Date,End Date,LT Trend,MACD Trend,Highest Price,Highest MACD,Lowest Price,Lowest MACD,Divergence spotted,Signal
2015-01-01,2015-01-01,2017-08-01,,Neutral,61.5,,55.11,,None,
2017-08-01,2017-08-01,2017-10-01,,MACD Bearish,67.48,-1.32,57.75,-1.4,None,
2017-10-01,2017-10-01,2017-11-01,Bullish breath,MACD Bearish,67.52,-1.06,64.05,-1.06,None,
2017-11-01,2017-11-01,2017-12-01,Bullish breath,MACD Bullish,74.99,3.04,60.65,3.04,None,
2017-12-01,2017-12-01,2018-02-01,Bullish,MACD Bullish,80.26,6.16,70.66,5.08,,
2018-02-01,2018-02-01,2018-03-01,Bullish breath,MACD Bullish,76.49,3.95,63.85,3.95,,
2018-03-01,2018-03-01,2018-06-01,Bullish breath,MACD Bullish breath,76.0,1.05,60.87,-2.6,,
2018-06-01,2018-06-01,2018-07-01,Bullish breath,MACD Bearish,66.33,-1.89,61.72,-1.89,,
2018-07-01,2018-07-01,2018-08-01,Bullish breath,MACD Bullish,70.76,0.48,63.51,0.48,,
2018-08-01,2018-08-01,2018-11-01,Bearish,MACD Bearish,72.25,-1.64,59.16,-2.29,,
2018-11-01,2018-11-01,2018-12-01,Bearish,MACD Bearish breath,71.96,-0.01,63.87,-0.01,,
2018-12-01,2018-12-01,2019-02-01,Bearish,MACD Bearish,70.68,-3.1,55.93,-3.3,,
2019-02-01,2019-02-01,2019-03-01,Bearish breath,MACD Bearish breath,76.2,2.58,62.1,2.58,,
2019-03-01,2019-03-01,2019-08-01,Bullish,MACD Bullish,97.31,14.11,73.66,5.95,,
2019-08-01,2019-08-01,2020-02-01,Bullish breath,MACD Bullish breath,82.58,8.21,63.5,-3.42,,
2020-02-01,2020-02-01,2021-01-01,Bearish,MACD Bearish,68.4,-7.85,25.1,-21.43,,
2021-01-01,2021-01-01,2021-02-01,Bearish,MACD Bearish breath,46.8,-13.18,31.16,-13.18,,
2021-02-01,2021-02-01,2021-11-01,Bearish breath,MACD Bearish breath,61.35,4.08,43.08,-6.87,,
2021-11-01,2021-11-01,2022-03-01,Bearish breath,MACD Bearish,68.76,-1.35,39.13,-4.88,,
2022-03-01,2022-03-01,2022-04-01,Bearish breath,MACD Bearish breath,52.72,-2.89,44.67,-2.89,,
2022-04-01,2022-04-01,2022-10-01,Bearish,MACD Bearish,50.0,-7.11,25.38,-11.74,,
2022-10-01,2022-10-01,2022-12-01,Bearish,MACD Bearish breath,44.77,-7.01,28.13,-7.76,,
2022-12-01,2022-12-01,2023-01-01,Bearish,MACD Bearish,35.82,-8.86,28.9,-8.86,,
2023-01-01,2023-01-01,2023-04-01,Bearish,MACD Bearish breath,38.26,-7.22,29.36,-8.23,,
2023-04-01,2023-04-01,2023-08-01,Bearish breath,MACD Bearish breath,47.35,-0.23,27.34,-5.98,,
2023-08-01,2023-08-01,2023-09-01,Bearish breath,MACD Bearish,31.83,-7.26,25.04,-7.26,Buy - Monthly Divergence,
2023-09-01,2023-09-01,2023-12-01,Bearish,MACD Bearish,28.95,-12.36,15.02,-14.27,,
2023-12-01,2023-12-01,2024-01-01,Bearish,MACD Bearish breath,29.11,-8.55,20.17,-9.83,,
