Time,Function,Symbol,Error
2024-01-17 16:54:22,create_stock_data_db,VCXA,'Growth'
2024-01-17 16:54:23,create_stock_data_db,VCXAU,'NoneType' object is not subscriptable
2024-01-17 16:54:24,create_stock_data_db,VCXB,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-17 16:54:28,create_stock_data_db,TXG,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:29,create_stock_data_db,TURN,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:31,create_stock_data_db,ATNF,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:33,create_stock_data_db,FLWS,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:34,create_stock_data_db,EFSH,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:36,create_stock_data_db,BCOW,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:37,create_stock_data_db,SRCE,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:39,create_stock_data_db,DIBS,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:40,create_stock_data_db,XXII,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:42,create_stock_data_db,ME,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:42,create_stock_data_db,ADER,'NoneType' object is not subscriptable
2024-01-17 16:54:43,create_stock_data_db,ADERU,'NoneType' object is not subscriptable
2024-01-17 16:54:44,create_stock_data_db,TSVT,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
2024-01-17 16:54:46,create_stock_data_db,TWOU,"{'code': 'PGRST204', 'details': None, 'hint': None, 'message': ""Column 'stock_id' of relation 'data_stocks' does not exist""}"
